                Name,sum(gdelt_count)
                null,            null
               China,93
               India,93
       United States,93
              Canada,93
           Australia,93
      United Kingdom,93
              Mexico,92
               Japan,84
             Germany,83
               Haiti,82
              France,81
             Ireland,79
              Russia,78
           Indonesia,75
              Brazil,75
         Philippines,74
            Pakistan,72
             Nigeria,70
               Egypt,70
         New Zealand,68
                Iraq,67
             Liberia,67
               Italy,64
               Syria,64
       South Korea,64
        South Africa,64
               Nepal,62
          Bangladesh,61
               Spain,60
        Saudi Arabia,60
              Guinea,60
        Sierra Leone,57
         Netherlands,56
         Switzerland,55
            Cambodia,54
         Puerto Rico,53
            Malaysia,52
            Thailand,51
              Israel,50
              Greece,49
              Turkey,48
             Vietnam,48
           Singapore,47
                Cuba,47
               Kenya,47
         Afghanistan,46
             Jamaica,41
               Ghana,40
             Denmark,40
              Norway,36
             Ukraine,36
            Zimbabwe,36
              Sweden,35
               Yemen,33
              Taiwan,33
              Uganda,32
             Belgium,31
Congo  Republic o…,30
              Angola,29
                Peru,29
           Hong Kong,29
          Madagascar,28
  Dominican Republic,26
              Poland,26
           Sri Lanka,25
               Sudan,24
             Finland,24
                Iran,22
             Somalia,21
            Tanzania,21
             Austria,21
       North Korea,20
           Venezuela,20
         South Sudan,20
United Arab Emirates,19
             Lebanon,19
U.S Virgin Islands,19
             Uruguay,18
        Bahamas,18
           Argentina,17
Congo,17
               Qatar,17
               Niger,17
          Antarctica,17
          Kazakhstan,17
          Costa Rica,17
 Trinidad and Tobago,16
            Ethiopia,16
            Portugal,16
              Jersey,15
               Burma,15
              Jordan,15
             Myanmar,15
              Belize,15
               Chile,14
          Kyrgyzstan,14
            Bulgaria,13
            Colombia,13
                Chad,12
                Fiji,12
    Papua New Guinea,12
              Guyana,10
             Iceland,10
           Guatemala,10
      Czech Republic,10
             Romania,10
            Djibouti,9
             Ecuador,9
    French Polynesia,9
             Tunisia,9
              Zambia,9
             Senegal,8
            Barbados,8
                Laos,8
             Morocco,8
                Oman,8
              Rwanda,7
           West Bank,7
               Malta,7
Central African R...,7
              Panama,7
              Cyprus,7
             Armenia,7
          Mozambique,7
             Belarus,6
             Croatia,6
             Bolivia,6
               Gabon,6
               Libya,6
             Namibia,6
             Burundi,5
           Lithuania,5
         Gambia,5
       Cote d'Ivoire,5
            Honduras,5
            Botswana,5
            Cameroon,5
             Bermuda,5
             Hungary,5
                Mali,5
              Malawi,4
               Macau,4
             Lesotho,4
           Nicaragua,4
               Benin,4
Micronesia  Feder…,4
       Faroe Islands,4
          Uzbekistan,4
Bosnia and Herzeg...,4
        Burkina Faso,4
            Paraguay,3
             Eritrea,3
    Marshall Islands,3
      Cayman Islands,3
              Bhutan,3
             Estonia,3
          Azerbaijan,3
           Greenland,3
     Solomon Islands,3
              Serbia,3
           Mauritius,3
            Maldives,2
             Algeria,2
   Equatorial Guinea,2
            Slovakia,2
              Kuwait,2
      American Samoa,2
          Tajikistan,2
           Swaziland,2
          Cape Verde,2
               Aruba,2
             Georgia,2
          Montenegro,2
         Saint Lucia,2
               Samoa,2
           Macedonia,2
 Antigua and Barbuda,2
          Luxembourg,2
             Moldova,2
            Anguilla,1
            Kiribati,1
               Tonga,1
      Norfolk Island,1
            Dominica,1
             Albania,1
            Guernsey,1
             Andorra,1
Saint Vincent and...,1
                Guam,1
            Mongolia,1
             Grenada,1
    Pitcairn Islands,1
              Latvia,1
          Seychelles,1
             Bahrain,1
